"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"BMP 36:4; BMP 18:2-18:2; [M+NH4]+","    24","    24","   161","    83","   177","    35","    79","   182","   107","   115","   145","   165","    76","    63","   317","    56","    97","    41","    93","   131","    21","    30","     3","    61","    76","   155","   151","    56","    93","    74","   217","   144","    80","   136","    70","    31","    79","    96","    66","   113","   169","   145","    52","    77","   165","    18","    35","    44","   196","    73","    63","   131","   181","    51","   300","    36","   155","   106","    98","    58","   425","   171","    71","   126","    54","   208","   146","   158","   152","    22","   432","    25","   189"," 13319"," 23165","   627","  8718"," 16453"," 42847"," 13642"," 16577","   217","  7764"," 16283","  7391"," 20411"," 19166"," 23280"," 17856","  7878"," 11251"," 12178"," 29099","172034"
"BMP 38:5; BMP 18:1-20:4; [M+NH4]+","  250","  162","   58","   97","   77","  104","   56","   97","   91","   59","  240","  126","   26","  194","  187","  137","  157","  141","  166","  152","   19","   96","   87","  238","   33","  204","  183","  114","   37","  346","   49","  207","   46","   68","   13","  313","  262","  143","   23","  322","   47","   80","   79","   55","  109","   20","  178","   84","   92","   61","   60","   25","   73","   38","  158","  119","   78","   79","   17","  105","  107","   45","   68","  193","   40","   20","  103","   91","   21","   79","  103","  241","  292","33797","60513","10474","28698","47005","55077","24555","68138","41234","12973","46801","13411","43713","58478","57935","38823","28582","38726","26873","91200","22064"
"BMP 38:6; BMP 18:2-20:4; [M+NH4]+","    41","   194","    51","   103","    34","    75","    79","    56","    80","   172","    21","   190","    49","   166","    54","    32","    58","   120","   210","   119","   209","    40","    21","   221","   194","   111","    63","    93","    96","   104","   110","   150","    53","    32","    12","    22","    26","    79","    18","    81","    72","    49","    22","   200","    84","    91","    76","    30","   106","   172","    82","   166","    27","    93","   180","    37","    74","   119","   116","    81","   233","    26","    67","    69","   306","    82","    70","    45","    16","   128","    43","    94","    78"," 19357","  3276","   755","  2556","  2752"," 34358"," 10899"," 30514"," 15911","  8528","  2630","  6232"," 14978","   505"," 20492"," 33110"," 11873","  2879"," 12261"," 46550","170766"
"BMP 40:6; BMP 18:1-22:5; [M+NH4]+","  114","  102","  113","   43","  372","  196","   49","  273","   92","  231","   54","  114","    6","  126","  527","   60","  157","   79","  111","  297","  168","  182","  117","  835","   27","  193","  115","  321","  333","  616","  230","  280","  107","  238","  460","  203","  157","  430","  297","   90","  268","  335","  230","  592","  300","  238","  817","  381","  343","  241","  513","  392","   48","  345","   56","  274","   43","  328","  130","  513","  773","  669","   95","  162","  232","  481","   67","  333","   63","  585","   50","  402","  286","31111","98743","  341"," 5395","43439","58826","24699","57460","21184","  456","50954","  364","30174","77869","61952","38685","24832","  499","35981","75651"," 1390"
"BMP 40:7; BMP 18:2-22:5; [M+NH4]+","   85","  169","   83","   85","   68","   85","  233","   16","  155","  156","   35","   32","   89","   24","  132","  103","  145","   52","  192","  134","  115","  149","   45","  127","  117","  463","  109","   27","   56","  196","   53","   19","  192","  102","  175","  211","   90","  231","   58","  150","   69","  182","   79","  229","  106","   48","   45","   79","  142","  115","   60","  128","   25","  151","  502","   28","  126","   22","   65","  208","  114","   15","   41","   22","   21","  169","   35","  269","  135","   19","  311","  339"," 8678","21484","34990"," 3500","21351","24142","49470","20093","44793","22244","11577","24252"," 9118","20524"," 1684","40096","27197"," 7487","12021","14810","56528","  574"
"BMP 40:8; BMP 20:4-20:4; [M+NH4]+","    37","    78","   211","   230","   278","    73","    79","   290","    25","   268","    62","   281","    53","    90","   497","    11","    27","    21","   257","    22","   247","   111","    59","    74","    85","    46","   764","   484","    31","   121","    83","   230","    43","    95","   229","    22","   235","   443","    15","    82","    67","    50","   161","   216","   145","   114","   341","    77","   173","   348","   108","    70","   114","    62","   101","   216","    98","   238","   474","    36","    74","    81","   116","   123","    43","   130","   142","    44","    46","   210","   164","    58","  9149","    84","   194","    79"," 22396","   202"," 31530","    59"," 42675"," 19600","   390","   149","  8468"," 12384"," 21153"," 26403"," 17232","  6588"," 10725"," 11562"," 32426","117031"
"BMP 42:9; BMP 20:4-22:5; [M+NH4]+","   31","  267","   35","   23","   23","   56","   72","   33","   31","  133","   44","   56","   48","   31","  515","  181","   86","   33","   54","  120","  179","   61","   21","  225","   23","  215","   55","  363","   25","  114","  110","   70","  317","   95","   92","  120","  422","  103","   78","   33","  108","  208","  151","   97","  171","  164","  235","  111","   78","   86","  198","   42","  120","  103","  197","   18","  194","  179","  197","  192","  326","  122","  200","   21","  112","  105","   26","  108","  132","  104","   39","  430"," 6191","17063","26041","   34","16691","10961","24581"," 9152","41228","12985","  107","22787"," 6082"," 6442","19872","19318","20171"," 7418","11228","11064","48126","14813"
"CE 18:2; [M+NH4]+","138027","127092","170791"," 77487","148525","157677","163742","117671","179077","105368","181333"," 76629"," 73103","108623","145517","221226"," 98461","130390"," 38389","148612","109356"," 96543","156297"," 76741","159076"," 61332","161829","125886"," 75227","169604","138963"," 52686","232845","145184","194812","191999"," 85780"," 81990"," 70587","191045","183197","169931"," 77074"," 89250"," 36643","126671","160055"," 70497"," 56074","209633","251769"," 87048","200638","285594"," 75215","230628","205707","126911","201130","108559","119605","173910"," 99912"," 81326","163146","210941"," 73064"," 82454","109230"," 47712"," 84251","134000","  4129","  2556"," 13145","   746","  6862","   452","  3020","  2570","  6300","   485","   982","  3874","  3098","   766","  2282","  2891","  2277","  8243","  5144","  2033"," 11689"," 40545"
"CE 18:3; [M+NH4]+"," 7315","10319","10287"," 5872","36143"," 7679"," 7427","13243"," 7697","15836"," 9547","11788"," 3574","23715"," 4284"," 5941"," 8767","11129","14512"," 9570"," 9897","12317","10207","14753","10276"," 8968","19720"," 8689"," 8689","18930"," 7336"," 8362"," 8053"," 5459","11276","10823","10730"," 6831"," 4123"," 6757"," 3166"," 4959"," 5575","11786"," 8263"," 5503"," 6293"," 4099","11918","17212","10272"," 8764","24033","22424","37645"," 8333","11610"," 8612","11249","33743","28945","30835"," 8269"," 8065","21979"," 6325"," 6588","28624","10610"," 8789","15442"," 8206","  295","  110","  486","  288","  390","  271","  107","  833","  260"," 1707","    1","  698","   54","   52","  200","   43","   62","  485","   94","  545","  278","12337"
"CE 20:3; [M+NH4]+","142624","160742","124158"," 60316","207136","117554"," 84297","124525","105558","105254","115316","116854","115645","124285"," 72499"," 65496","162784","113267"," 84140","113106","139542","130349"," 59065","148543","115300","227072","148244","134449"," 81883","198941","191331"," 84331","161948"," 90263","120275","137124","128254","110890"," 82494"," 81829"," 99829","106085","100469"," 94109","153000"," 90985"," 89783","128845","172799","203273","111852"," 77495","238943","260359","114557","119427","114905"," 99233","122216","149438","153949","152014","146126"," 98789","123681"," 79882","128881","136132"," 99062","100280","157806","140961","  3721","  1033"," 21016","  1250","  5255","   589","  3073","  1347"," 10068","  5496","  1246","  2554","   827","   543","  1840","  1133","  1982"," 14461","  5700","  4301"," 18312","  1601"
"CE 20:4; [M+NH4]+"," 905753","1085582"," 871798"," 532828","1619607"," 906832"," 727335"," 853668"," 863328"," 822020"," 818897"," 904322","1089025"," 950864"," 555308"," 574842","1462350"," 977581"," 541704"," 812786","1205390","1109256"," 557402","1117065"," 753328","1860075","1003591","1017510"," 669968","1460009","1330679"," 725664","1113797"," 648843"," 939793"," 978247","1087260"," 734434"," 642921"," 639185"," 661114"," 738485"," 717354"," 696268","1230567"," 597102"," 701748"," 970597","1182041","1615182"," 755369"," 543679","1980530","1837366"," 780340"," 987517","1052453","1190002","1195966","1345763","1168329","1071751","1191036"," 792568"," 909092"," 613097","1079827","1121699"," 875011"," 800490","1011690","1200467","  33333","  10202"," 143431","   8173","  47454","   3290","  13430","  14617","  54434","  12895","   3657","  30617","   5137","  11893","  20630","   9965","  16607"," 100937","  40545","  25232"," 106217","   4868"
"CE 22:4; [M+NH4]+"," 79711"," 75079"," 71407"," 41589"," 84046"," 72948"," 69061"," 80015"," 52609"," 52609"," 66233"," 63888"," 87260"," 73345"," 66990"," 59777"," 82953"," 70158"," 43008"," 63465"," 59613"," 64184"," 44020"," 78920"," 71661"," 73680"," 66636"," 75223"," 66119"," 77051"," 81931"," 65429"," 91891"," 60912"," 61140"," 80427"," 76314"," 76301"," 69316"," 68598"," 68842"," 76940"," 75166"," 65025"," 94586"," 61828"," 64322"," 77838","114827"," 99241"," 61734"," 58234"," 91577"," 93304"," 41198"," 74641"," 61943"," 68745"," 60593"," 74179"," 75381"," 63512"," 76536"," 58495"," 76764"," 42532"," 80855"," 78410"," 58341"," 55128"," 66722"," 74883"," 11049","  5419"," 16249","  1719"," 51619","   898","  2268","   774"," 29557","  2358","  1185"," 34539","  2189","   553","  3134","  1895","   112"," 81006","  4945","  2978"," 61442"," 58605"
"CE 22:5; [M+NH4]+","15832","17348","26956","16096","47916","18927","19440","19364","17207","19938","26171","18248"," 9595","12023"," 9602","13730","18438","17953","22964","14207","27055","25436","23757","38242","25923","34718","35447","29720","25010","66061","21781","22988","25105","15988","22789","30215","27999","19956","24005","13952","29239","19253","13405","20186","21362","29762","26736","18228","17040","24948","22695","33500","37876","35638","21898","38546","48800","20074","27887","56251","15137","30821","17368","26474","28911","27987","10359","24637","21878","13575","16651","19588","14839"," 4186","37154"," 2109","28927"," 1232","11228"," 6061","20146"," 6023"," 2719","22727"," 1596"," 2319"," 6840"," 8878"," 8262","73432","21302"," 6917","48240","14609"
"CE 22:6; [M+NH4]+","116360","132798","141700"," 39949","138780","116202"," 92890","107132","114657","101585","174170","139545"," 70113","145693"," 43510"," 41847"," 99840"," 71545"," 65831"," 91263","108050","135135","208112","160459","251574","173847","186343","161221","104159","502383","275334","177763"," 88662","106838","106218","202118","141846","145294","127136","103674"," 76804"," 99601"," 77606"," 84297","155569"," 78524"," 83913","114520","196466","202243","145721","150126","269209","247949","181967","188354","336610","172332","118195","350723","134314","235316","131150","116859","238298"," 87656","128892","114420"," 93996","136463","191953","199664"," 16463"," 10397"," 31697","  2848"," 24299","  1303","  9070","  6550"," 18436","  4805","  2914"," 25930","  1265","  1892","  8184","  9031"," 13609"," 95162"," 21157"," 11528"," 53632","  1181"
"CE 24:4; [M+NH4]+","  225","   39","  280","  192","  137","   44","  353"," 3439","  238","   63","   50","   71","  237","  114","   80","  186","  625","   46","  116","   62"," 2262","  129","  745","   98","  221","  109","  281","   59","   60","   70","  145","   36"," 1962","   60","  159","  240","   66","   60","  208","  135"," 2725","  415","  118","   51"," 1501","  153","  550","   57","   73","  164","  193","   71","   59","   41"," 1501","  240","   64","  336","  124","  126"," 2819","   69","  121","   92","   66","  126","   74","   94","   62","   11"," 2369","   45"," 1966","  907"," 3300","  266"," 3417","  672"," 1447"," 2312"," 2647","  704","  528"," 2075","  497","  496","  976","  861"," 3418","33420"," 1209"," 2750"," 4523","40501"
"CE 24:6; [M+NH4]+","36492","26905","32356","11846","30637","30486","28696","29339","28846","26286","39052","32728","23651","31683","12185","14750","29833","24447","20752","26661","28971","27993","39692","38759","51303","33354","36986","32944","28172","75201","53410","37991","27281","27199","31160","41114","34331","30035","30817","32077","  107","32869","24563","19467","43862","24367","27667","29210","54723","51553","36938","32306","51869","40465","28927","36472","51204","42306","32601","66426","33421","47284","32832","33029","48761","17701","37928","30660","25958","28881","40341","47401"," 6070"," 4785"," 9685"," 1011"," 4403"," 1142"," 2592"," 2907"," 4931"," 1649","  404"," 7374","  870","  351"," 2934"," 2945"," 1745","12077"," 8084"," 4861","16694","54598"
"Cer-AP t37:2+O; Cer-AP t18:1/19:1+O; [M+H]+","   849","   306","   372","   239","   106","    70","    97","    64","   295","     1","    56","   351","     1","   421","   244","    90","   127","     1","   218","   257","   239","   747","    85","   107","   301","   588","   117","   161","    64","   105","   125","    63","   153","   258","   197","   221","   806","   175","    70","   231","   258","   716","  1209","    91","     1","   141","   668","   111","     1","   869","   365","   304","     1","   258","   663","   407","   350","   444","    39","   288","   409","   256","   106","    85","   619","   328","   157","    95","    92","   188","   518","   600","   985"," 33135","  4180","   856"," 23455"," 36252","111730"," 56369","   789"," 88980"," 60958"," 32277","  4030"," 53631","  1023"," 35026","  3316","   801","  4129"," 15659"," 21890","  9921"
"Cer-EOS d41:2; Cer-EOS d15:1/26:1; [M+H]+"," 11517"," 21485","  8834"," 19544"," 12666"," 11794","  4118"," 23805"," 29241"," 15283"," 18895"," 13051","  2491","  7077"," 24742"," 22174"," 19291"," 13230"," 17153"," 14359"," 10388"," 26666"," 11681"," 14335"," 10288"," 17455"," 17490"," 18782","  9154","  8092","  8524"," 10332"," 13539"," 15033"," 20698","  7041"," 13821","  9399"," 18104"," 15973"," 23400","  7706"," 15686"," 14551","  6637","  6977"," 19509"," 13759","  8577","  6709"," 18851","  8664","  8387"," 22333"," 33405"," 13087"," 24676","  9932"," 11201","  6516"," 18360"," 13054"," 10975","  9282"," 15085"," 35201","  4343"," 16831","  2161"," 19443"," 16907"," 15779","146194","382812"," 98015","198226","233712","229453","543014","264361","276818","424278","347176","364411","270337","266793","260425","286045","344773","154380","136113","142028","247844"," 36889"
"Cer-NDS d34:0; Cer-NDS d18:0/16:0; [M+H]+","  1920","   325","   222","  1150","   142","  1569","   891","  2365","  1772","    56","  1037","  1650","   629","   645","  2142","   285","  1104","  2832","  1763","  1374","   810","  1704","   901","   710","  1278","  2828","   265","   238","   167","   620","  1100","   297","  2188","  2814","  1060","  1164","  1343","   618","   303","  1226","   539","  1334","  1447","  1576","   148","   691","  1415","  1852","  1224","  2274","  2297","   371","  1069","  2615","  4565","  1328","  3163","   851","  1987","  1841","   197","  1875","    75","  1381","   546","  2949","  1596","  1919","   235","  2139","  2279","  3224","100809","123707","487617"," 59947","326001","127745","114405"," 70082","135128","145200"," 63228","124918"," 54029"," 84587"," 85326"," 71179"," 63008","197333","289085","141775","112779","   989"
"Cer-NDS d36:0; Cer-NDS d18:0/18:0; [M+H]+"," 3081","  734"," 1583"," 1231"," 1754","  580","  862"," 1516"," 1711","  869","  814"," 4174","  994"," 1452","  993","  526","  727","   68"," 1531","  121"," 2097","  693"," 1681"," 1081"," 1772"," 1305"," 1239"," 1096"," 1018"," 2197"," 1353"," 1327"," 1836","  640"," 2104"," 1006"," 1620"," 1968"," 1099"," 1517","  221","  139","  292","  994","  709"," 1176"," 1030"," 2221"," 2075"," 3483"," 3628"," 3238"," 2955"," 4777"," 3198"," 1125"," 2437"," 1673"," 1613"," 3448"," 1791"," 1911","  711","  858"," 1052"," 1731"," 1380"," 2486","  171"," 1076"," 1973"," 1199","10082"," 7750","30331"," 6573","18808"," 8737"," 8984"," 7272"," 2692"," 7473"," 5376"," 6199"," 2670"," 5043"," 1734"," 2587"," 4679","19988","13005","14506","12369","  226"
"Cer-NDS d37:3; Cer-NDS d17:0/20:3; [M+H]+","198023","275106","246303","227265","371296","270104","240527","295732","284053","190335","216075","322177","211306","244044","143707","207368","259820","181898","244527","238595","265780","163096","204830","259736","300107","312916","398703","241053","283860","298303","181649","186176","260197","215585","221065","217799","246487","303567","251176","321639","336381","194128","144965","231601","173445","191937","232348","198020","322380","259255","304269","213984","270523","385509","219196","279705","286163","233108","271484","267480","137828","200573","239712","182774","203904","146246","213529","203945","332788","141497","172136","168523","  4656","  5308"," 26657","  8875"," 16335","  2498"," 10810"," 12878","  7137","  1936","  9185"," 13335","  2231","  4042","  8707"," 12865","  3110","  5286"," 10559","  6271"," 19543"," 19230"
"Cer-NDS d42:1; Cer-NDS d18:0/24:1; [M+H]+","  3538","  1898","  2619","  1894","  5359","  3083","  1560","  1924","  2495","  1696","  3029","  3555","  1558","  1832","  2106","  1092","  1739","  2953","  1937","  3523","  4003","  4515","  2025","  1608","  3409","  3603","  2150","  3338","  1264","  4520","  1644","  2397","  4923","  2334","  3777","  1648","  4373","  2756","  2004","  4238","  2659","  2064","  6021","  2577","   801","  1680","  2028","  5650","  4583","  3883","  3230","  3592","  3751","  9126","  6284","  4507","  5059","  3023","  4009","  5954","  6525","  3972","  2402","  2280","  1547","  3523","  5071","  3825","  1110","  4623","  6026","  6391"," 73828"," 65310","152206"," 28984","168829"," 30737"," 74594"," 26928","101211"," 60417"," 14377"," 66012"," 25703"," 25164"," 36807"," 33979"," 21345","152226","117027"," 68959"," 55069","  2335"
"Cer-NS d33:1; Cer-NS d17:1/16:0; [M+H]+","  104","  340","   80","   47","  183","  205","   41","   31","   44","  119","   36","  100","   16","   45","  106","  163","   31","   41","  370","  396","  298","   19","   30","  232","  144","  217","  233","  193","  106","  201","  373","   44","   86","  148","  434","   78","  169","  112","  271","  141","   75","   96","  145","   72","  454","  172","   74","   36","   62","   64","   67","   24","  120","  182","   72","   76","   41","    1","   42","  173","  357","    1","  379","  144","   37","   49","   29","  266","  134","  107","   29","   72","12013","    1"," 3264","    1","    1","    1","  699","21817","41212","34045"," 1595","  549","31281","22211","17762","17718","16285","22805","    1","16012","24012"," 3726"
"Cer-NS d34:1; Cer-NS d18:1/16:0; [M+H]+","   1465","    130","   1595","    277","    227","   1615","   2408","     95","    109","    701","   1400","   3384","   1805","   3338","   5523","     34","   4537","   3686","    462","   5935","   1030","    539","    613","   1162","   4401","    111","   1895","    101","     67","   4445","   1810","   2034","   5269","    304","   4775","    818","   2396","    364","   1122","   2914","   6698","    362","   5029","   4147","   2762","   1733","   4496","   5530","   5251","   5166","   4529","  10905","     86","    132","  11921","   5801","   7039","   8137","   3128","  11102","   5234","   8923","    154","   4630","   2904","   4639","   2464","   4499","    840","   2746","   6055","   5356"," 488615"," 710405","1749308"," 294634","1580242"," 591121"," 537766"," 334990","1070748"," 953020"," 299673"," 612522"," 423851"," 374314"," 396497"," 330045"," 314108"," 768489","1457025"," 544907"," 452622","   3470"
"Cer-NS d34:2; Cer-NS d18:1/16:1; [M+H]+","  113","  105","   47","   60","   43","   90","   86","   59","  101","  217","   38","   76","   57","   26"," 1229","   72","  119","  226","   76","   87","  104","   98","  139","    1","  387","  106","  179","   84","   73","  534","  162","   70","  212","   82","   87","   45","  520","  392","  200","   82","  371","  213","  400","  129","   26","  222","  195","  313","  217","  523","  335","   85","  117","  283","  187","   97","  243","   54","   99","   99","  130","   95","   53","  128","   81","  170","   61","  200","   62","   58","   49","   45","  273"," 4775","38813"," 1893"," 4438"," 3153","  688","57232","  348"," 4035"," 2209"," 1258"," 5014"," 5991","  838"," 6933"," 1723","  654","12654"," 7905"," 4052"," 2709"
"Cer-NS d34:2; Cer-NS d18:2/16:0; [M+H]+"," 1320","    1","  864","    1","    1"," 1028","    1","    1","  401","  665","  830","  373","    1","  810","  248","  171","    1","    1","  194"," 1078","  733","    1","  277"," 1089","    1","    1","    1","    1","  391","    1","    1","    1","  390"," 1189","  294","   34","  274","   58","  503","  368","    1","  405","   37","  350","    1"," 1329"," 1673","    1","  367"," 1719","    1","    1","  300","    1","  625","  394","  406","    1","    1","  702","    1","    1","   49","  148","  238","  368","   58"," 1389","   25","    1","   77","  507","  944","14893","45825"," 7819","46499","19604","12558"," 4473"," 1621","  810"," 2986"," 6942","  598","13404"," 1798"," 3261","11624","12468","51000"," 1029","11715"," 2124"
"Cer-NS d36:1; Cer-NS d18:1/18:0; [M+H]+","   293","   935","  1816","  1966","  2330","  1564","   448","  2433","   607","  1458","  2352","  2061","  1694","  1855","  2124","  2578","  2493","   755","  1561","  2408","  3280","  2772","   459","  1138","  1236","  2582","   662","  2280","  2979","  2244","  1249","  2814","  2714","  2541","  3439","   687","  3745","  1958","  1293","  2649","  1550","  1893","  4865","  2792","  1715","  1374","  1658","  3229","  1611","  4760","  3327","  1565","  2517","  3689","  5845","  1692","  4134","  2520","  3346","  2742","  3682","  1236","   163","   530","  1702","  4576","  1340","  3912","   481","  1179","  3095","  4116"," 33674"," 32891","105121"," 20705"," 47522"," 33785"," 38667"," 29677"," 66992"," 47774"," 21017"," 38290","  1988"," 28394"," 65937"," 26410"," 20006"," 84874"," 73757"," 56265"," 71026","    24"
"Cer-NS d36:2; Cer-NS d18:1/18:1; [M+H]+","     1","    60","   271","   182","   216","   216","   408","    69","    36","    83","   180","    66","   152","   124","    48","    66","   455","   963","   375","   391","   353","   156","   137","   621","    46","     1","   308","    77","    66","    72","   173","   187","    49","    90","     1","   338","   806","    38","   154","     1","   362","     1","     1","    53","    48","   393","     1","     1","   159","   442","    72","    72","    67","    94","   370","   133","    66","   997","   153","   928","     1","   335","   402","    73","   453","   540","    52","   186","   382","   301","   101","   199","   266","  4736","137354","  2663"," 50352"," 17805","  8310","  5550","   916"," 11149","  5280","  3427","  1485"," 10247","  4933","  1095","   320","  4280"," 96103","   834","   806"," 13019"
"Cer-NS d36:3; Cer-NS d18:1/18:2; [M+H]+","   504","     1","   494","   222","    60","   433","    69","     1","     1","     1","   672","    83","     1","   141","  1165","   632","   244","   107","     1","   621","     1","    43","    81","   409","   152","     1","   326","   623","   144","     1","    92","     1","   199","   599","     1","     1","     1","   403","     1","    90","     1","   544","   131","   425","     1","     1","  1095","   439","     1","   168","   139","   418","    64","   308","   936","   193","     1","   117","   276","   173","     1","   407","   401","     1","     1","   485","   130","   410","   137","   141","   161","     1","   523","  1058","122650","   462"," 20780"," 11259","  1195","   541","  1091","   340","   585","   707","  1839","  3530","  1990","  1126","  1150","   585","146753","  1126","  1305"," 17303"
"Cer-NS d38:1; Cer-NS d18:1/20:0; [M+H]+"," 1453","  920"," 3477","  678"," 2139"," 1505","  425"," 1370"," 1782"," 1295"," 1186"," 2186","  430"," 1179"," 1599"," 1742"," 1181"," 1361","  483","  396"," 2336"," 1539","  957"," 1416","  998","  997"," 1388"," 1742"," 1471"," 1378","  890"," 1612"," 1019"," 1648"," 1593"," 1328"," 2213","  989"," 1020"," 2000"," 1007"," 1479"," 1051"," 1379"," 1033","  639"," 2052"," 1254"," 1829"," 2236"," 2719"," 1253"," 2331"," 2853"," 2691","  977","28065"," 1101"," 1556"," 1617"," 2236"," 1454"," 1433","  693"," 1740"," 2330","  771"," 1848","  316"," 1675"," 1562","  758","13242"," 8498","43405"," 5305","27986"," 9988","15284","16658","24416"," 7658"," 7478","12771"," 5796"," 7039","11114","15981"," 5185","37089","18575","12280","20624"," 6883"
